Index	Homograph	Context	TargetWord	Label
1	ноги	Если раньше, делая прогноз на чемпионат мира, очень легко было попасть пальцем в небо – итоговый результат россиян все равно определялся бы тем, с какой ноги встали лидеры команды, и тем, насколько удалось воплотить эмоции в голы, то теперь можно говорить о претензиях сборной России на место в первой четверке, по крайней мере это тот результат, на который команду можно нацеливать, правильно сочетая красивую игру и осмотрительность.	ноги	1
2	ноги	Медвежонок поставил самовар, а Ежик переминался с ноги на ногу-не знал, как предложить инопланетянам раздеться.	ноги	1
3	ноги	"Ученым удалось найти в Абыйском районе республики ""кладбище мамонтов "", и среди костных останков древних млекопитающих были обнаружены две хорошо сохранившиеся в вечной мерзлоте ноги животного."	ноги	1
4	ноги	Ведь последние несколько дней Чащина, усугубившая травму ноги на открытой тренировке, занималась с полной нагрузкой.	ноги	1
5	ноги	Грин получил травму ноги, выбыл из строя на десять месяцев, а по возвращении потерял репутацию безоговорочного чемпиона.	ноги	1
6	ноги	"В субботу футболисты ""Алании "" что-то сделали неправильно: либо дружно встали не с той ноги, либо встретили по пути на матч старуху с пустыми ведрами."	ноги	1
7	ноги	Ноги моей там не будет!	Ноги	1
8	ноги	Накануне поездки в Москву клуб потерял Александра Циклера, который потянул мышцу ноги и присоединился к Карстену Янкеру, Стефану Эффенбергу, Мехмету Шоллю и Йенсу Йеремису.	ноги	1
9	ноги	20-летняя девушка не участвует в турнирах с февраля нынешнего года, когда получила стрессовый перелом ноги.	ноги	1
10	ноги	Вокруг его босой ноги обвивалась огромная черная змея.	ноги	1
11	ноги	Я смотрю на ее Мальвину, а у той вместо оторванной ноги торчит синий карандаш.	ноги	1
12	ноги	Институтов умаслился бы и от вида бараньей ноги, но Абдулка уже так сильно тосковал по родному солдату, что никакая другая сила или здравый смысл не могли бы его заставить умерить свое жертвоприношение.	ноги	1
13	ноги	Ошибки Ягудина были заметнее: приземление тройного акселя на две ноги, два оборота во флипе.	ноги	1
14	ноги	Стараясь как можно быстрее набрать форму, самая сексуальная теннисистка планеты несколько переусердствовала на тренировках и вновь почувствовала боль той травмы ноги, что не позволяет ей выступать в турнирах уже много месяцев.	ноги	1
15	ноги	И тут же она почувствовала легкое движение у ног: серая, с извилисто-темными полосками на боках простонародная кошка коснулась ее голой ноги.	ноги	1
16	ноги	Отец приехал к нему внезапно, без картошки и сала, ноги погнали старика к сыну, Андрею Николаевичу показалось даже, что отец пешком притопал в столицу из гороховейского далека: таким усталым выглядел, изнуренным после дороги, озябшим на семи ветрах странствий.	ноги	1
17	ноги	Ложь, наглая ложь, вранье несусветное – но как легка походка, как грациозно покачивается таз, когда скрипучая тяжесть тела переносится с ноги на ногу, а движения бедер намекают на их волнообразные подъемы и опускания в иной плоскости.	ноги	1
18	ноги	Рядом же с машиной нетерпеливо переминались с ноги на ногу трое лыжников и один в штатском.	ноги	1
19	ноги	"Они были разочарованы, что приехавшую ""советику "" нельзя было отличить от других артистов, входивших в театр: оказывается, она такая же, как и все прочие люди, у нее есть голова, две руки, две ноги..."	ноги	1
20	ноги	Возле общежития с ноги на ногу переступал и громко негодовал сержант Горовой, назначенный Арутюновым дежурить в общаге:	ноги	1
21	ноги	И вот так, переминаясь с одной замерзшей ноги на другую, можно, сидя на корточках и вдыхая запах гари, блаженствовать некоторое время.	ноги	1
22	ноги	Иногда я наступал на него – и месяц расплывался вокруг моей ноги.	ноги	1
23	ноги	Какой-то мешок вместо ноги.	ноги	1
24	ноги	Округ голой ноги окручивался великолепным образом куском фланели – уже тепло вспомянутая портянка.	ноги	1
25	ноги	Спрятавшись за большой курьей ногой, можно было наблюдать, как прабабка, взяв бронзовый подсвечник, опять же в форме курьей ноги, запалив в нем свечу, для чего-то прислонив к нему осколок зеркальца и (как мне сейчас кажется) распустив свои седые страшные волосы, начинала что-то жутко бормотать по своим темным молельным книжечкам.	ноги	1
26	ноги	Ноги моей больше здесь не будет.	Ноги	1
27	ноги	Телеграмму о смерти отца Аркадий Лукьянович получил с опозданием на полтора месяца, поскольку умная жена его передала печальную весть только когда он начал поправляться от двустороннего воспаления легких, а с ноги уже был снят гипс.	ноги	1
28	ноги	Она нажала кнопку звонка и спросила женщину, отворившую ей дверь, удобно ли будет, если она, Таня, обратится к Солнцевым по поводу ноги?	ноги	1
29	ноги	Он постоял, подумал и вдруг поставил свою лапу на отпечаток моей ноги.	ноги	1
30	ноги	"Я вспомнила бывшего фронтовика с протезом вместо ноги, которому в парикмахерской не хотели уступать очередь, хотя возле кассы было написано, что "" инвалиды имеют право... ""."	ноги	1
31	ноги	Он как-то не так ступил – и посыпалось, камень оборвался из-под его ноги и мягко по травам поскакал по склону, докатился до репейников и застрял там.	ноги	1
32	ноги	Седло рекомендуется устанавливать так, чтобы велосипедист, сидя на седле, упирался пяткой вытянутой ноги на педаль при ее нижнем положении.	ноги	1
33	ноги	Длинные когти могут привести к сильным травматическим повреждениям, даже к перелому ноги.	ноги	1
